"genre","no_of_applications","max"
"Auto & Vehicles",85,4.9
"Sports",331,5
"Entertainment",561,5
"Simulation;Education",3,4.5
"Events",64,5
"Medical",395,5
"Art & Design;Action & Adventure",1,NULL
"Simulation;Action & Adventure",7,4.7
"Communication;Creativity",1,4.2
"February 11, 2018",1,1.9
"Casual;Brain Games",12,4.8
"Parenting",46,5
"Entertainment;Brain Games",7,4.8
"Trivia;Education",1,NULL
"House & Home",74,4.8
"Educational;Education",38,4.8
"Board;Brain Games",15,4.8
"Libraries & Demo",84,5
"Puzzle;Education",1,4.6
"Lifestyle;Education",1,4.3
"Casual;Education",3,4.4
"Finance",345,5
"Entertainment;Action & Adventure",3,4.3
"Puzzle;Brain Games",17,4.7
"Adventure",73,4.7
"Video Players & Editors;Music & Video",2,4
"Strategy",95,4.8
"Travel & Local;Action & Adventure",1,4.1
"Adventure;Education",1,4.1
"Arcade;Action & Adventure",14,4.7
"Strategy;Education",1,4.5
"Weather",79,4.8
"Books & Reference;Education",2,4.7
"Travel & Local",218,5
"Education;Pretend Play",17,4.9
"Casual;Creativity",6,4.7
"Casual;Pretend Play",25,4.7
"Racing",91,5
"Board;Pretend Play",1,4.8
"Lifestyle",368,5
"Simulation;Pretend Play",3,4.8
"Word",23,4.9
"Entertainment;Education",1,4.4
"Action;Action & Adventure",12,4.6
"Casual;Music & Video",1,4.1
"Music & Audio;Music & Video",1,4.3
"Strategy;Action & Adventure",2,4.6
"Card;Action & Adventure",2,4.3
"Adventure;Action & Adventure",5,4.5
"Education;Music & Video",3,4.4
"Productivity",374,5
"Role Playing;Action & Adventure",4,4.7
"Puzzle",119,5
"Adventure;Brain Games",1,4.6
"Shopping",202,5
"Puzzle;Action & Adventure",3,4.3
"Health & Fitness;Action & Adventure",1,3.9
"Music",19,4.7
"Education;Education",36,5
"Parenting;Music & Video",6,4.8
"Entertainment;Pretend Play",2,4.1
"Casino",39,4.7
"Comics;Creativity",1,4.8
"Puzzle;Creativity",2,4.4
"Educational;Brain Games",6,4.6
"Educational",37,4.7
"News & Magazines",254,5
"Role Playing;Brain Games",1,4.3
"Art & Design;Creativity",6,4.7
"Educational;Action & Adventure",3,4.4
"Video Players & Editors",162,4.9
"Parenting;Brain Games",1,3.8
"Photography",281,5
"Role Playing;Education",1,NULL
"Video Players & Editors;Creativity",1,4.1
"Role Playing",105,4.8
"Art & Design;Pretend Play",1,3.9
"Music;Music & Video",3,4.7
"Parenting;Education",7,4
"Casual",165,5
"Education;Creativity",6,4.5
"Arcade;Pretend Play",1,4.5
"Books & Reference",222,5
"Arcade",184,5
"Lifestyle;Pretend Play",1,4
"Educational;Creativity",5,4.4
"Food & Drink",112,5
"Role Playing;Pretend Play",4,4.5
"Dating",171,5
"Strategy;Creativity",1,4.4
"Books & Reference;Creativity",1,NULL
"Health & Fitness;Education",1,4.7
"Entertainment;Creativity",3,4.7
"Communication",315,5
"Tools;Education",1,4.5
"Maps & Navigation",131,4.9
"Action",299,5
"Card",47,4.9
"Sports;Action & Adventure",4,4.5
"Art & Design",57,5
"Trivia",38,5
"Tools",826,5
"Entertainment;Music & Video",15,4.7
"Business",420,5
"Board;Action & Adventure",3,4.1
"Social",239,5
"Personalization",376,5
"Education;Action & Adventure",4,4.4
"Racing;Pretend Play",1,4.5
"Educational;Pretend Play",13,4.6
"Board",41,4.8
"Racing;Action & Adventure",16,4.5
"Health & Fitness",288,5
"Comics",55,5
"Casual;Action & Adventure",13,4.5
"Simulation",193,5
"Education;Brain Games",4,4.5
"Education",510,5
"Beauty",53,4.9
